Designator,Mid X,Mid Y,Rotation,Layer
C1,66.57375,-91.2825,180.0,top
C10,104.10515,-91.1944,180.0,top
C11,114.33515,-88.0699,0.0,top
C12,95.05375,-87.1908,270.0,top
C13,18.10375,-87.9908,180.0,top
C2,36.70375,-88.1908,270.0,top
C3,48.58375,-83.1908,0.0,top
C4,65.10375,-79.4708,90.0,top
C5,54.05375,-91.2825,0.0,top
C6,48.58375,-84.1908,0.0,top
C7,61.30375,-79.5125,90.0,top
C8,78.05375,-89.5325,180.0,top
C9,74.58375,-89.4908,180.0,top
D1,31.25375,-88.9241,270.0,top
F1,39.70375,-88.7908,270.0,top
H1,124.80375,-35.3908,0.0,top
H10,48.70375,-59.8908,0.0,top
H11,10.60375,-53.6908,0.0,top
H12,105.80375,-25.2908,0.0,top
H13,105.80375,-63.3908,0.0,top
H14,67.70375,-20.0908,0.0,top
H15,67.70375,-39.1908,0.0,top
H16,67.70375,-58.2908,0.0,top
H17,29.60375,-26.9908,0.0,top
H2,29.60375,-65.0908,0.0,top
H4,86.70375,-22.3908,0.0,top
H5,48.70375,-21.7908,0.0,top
H6,10.60375,-34.5908,0.0,top
H7,124.80375,-73.4908,0.0,top
H8,124.80375,-54.4908,0.0,top
H9,86.70375,-60.4908,0.0,top
R1,54.70375,-85.7908,180.0,top
R10,99.61515,-88.8454,180.0,top
R11,99.61515,-90.9699,180.0,top
R12,99.61515,-85.0699,180.0,top
R13,110.10515,-91.0699,0.0,top
R14,107.35515,-91.1944,180.0,top
R15,89.00375,-83.8908,180.0,top
R16,82.30375,-90.5325,180.0,top
R17,18.10375,-90.2908,180.0,top
R18,126.05375,-12.2925,90.0,top
R19,122.55375,-12.2925,270.0,top
R2,60.30375,-91.2825,0.0,top
R3,54.70375,-83.2908,0.0,top
R4,57.06375,-91.1908,0.0,top
R5,54.70375,-88.3908,180.0,top
R6,69.70375,-88.9908,90.0,top
R7,63.30375,-79.4608,90.0,top
R8,63.55375,-91.2825,180.0,top
R9,99.61515,-87.0366,180.0,top
SW10,86.73705,-31.8575,270.0,top
SW11,67.70375,-29.6575,270.0,top
SW12,48.67045,-31.3241,270.0,top
SW13,29.63705,-36.5241,270.0,top
SW14,124.80375,-64.0325,90.0,top
SW15,105.77045,-53.8575,270.0,top
SW16,86.73705,-50.9241,270.0,top
SW17,67.70375,-48.7241,270.0,top
SW18,48.67045,-50.3575,270.0,top
SW19,29.63705,-55.5575,270.0,top
SW2,124.80375,-25.9149,270.0,top
SW20,124.80375,-83.0908,270.0,top
SW21,105.76375,-72.8908,270.0,top
SW22,86.72375,-69.9908,270.0,top
SW23,67.68375,-67.7908,270.0,top
SW24,48.64375,-69.3908,270.0,top
SW25,29.60375,-74.5908,270.0,top
SW26,67.70375,-10.5908,270.0,top
SW27,10.60375,-63.2908,270.0,top
SW28,10.60375,-44.2826,270.0,top
SW3,105.80375,-15.7908,270.0,top
SW4,48.70375,-12.2908,270.0,top
SW5,86.80375,-12.7908,270.0,top
SW6,29.63705,-17.4908,270.0,top
SW7,10.60375,-25.1908,270.0,top
SW8,124.80375,-44.9735,270.0,top
SW9,105.77045,-34.8241,270.0,top
U1,61.40375,-85.6241,90.0,top
U2,23.80375,-88.9241,180.0,top
U3,107.490325,-87.1051,90.0,top
U4,89.27875,-88.3291,270.0,top
USB1,124.49375,-0.1908,180.0,top
Y1,78.40375,-82.8908,0.0,top
