Designator,Mid X,Mid Y,Rotation,Layer
H1,10.60375,-35.3825,0.0,top
H10,86.70375,-59.8825,0.0,top
H11,124.80375,-53.6825,0.0,top
H12,29.60375,-25.2825,0.0,top
H13,29.60375,-63.3825,0.0,top
H14,67.70375,-20.0825,0.0,top
H15,67.70375,-39.1825,0.0,top
H16,67.70375,-58.2825,0.0,top
H17,105.80375,-26.9825,0.0,top
H2,105.80375,-65.0825,0.0,top
H3,122.30375,-80.0325,0.0,top
H4,48.70375,-22.3825,0.0,top
H5,86.70375,-21.7825,0.0,top
H6,124.80375,-34.5825,0.0,top
H7,10.60375,-73.4825,0.0,top
H8,10.60375,-54.4825,0.0,top
H9,48.70375,-60.4825,0.0,top
